Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Module	Function (Full)	Source File	Start Address
matrix_mult	0.509986	0.509986	0.0	0.0	cppMatrixOps	matrix_mult(int const (*)[512], int const (*)[512], int (&)[][512])	[Unknown]	0x4012b3
stencil_2d	0.030014	0.030014	0.0	0.0	cppMatrixOps	stencil_2d(int const (*)[512], int (&)[][512])	[Unknown]	0x401166
